"dimension" "Birth" "Death"
"1" 0 0 1.5
"2" 0 0 0.333357806312589
"3" 0 0 0.416706887593969
"4" 0 0 0.416687002806325
"5" 0 0 0.166700783061168
"6" 0 0 0.333401566122337
"7" 0 0 0.416643242996578
"8" 0 0 0.333357806312589
"9" 0 0 0.166649869409452
"10" 0 0 0.166657023251421
"11" 0 0 0.333314046502842
"12" 0 0 0.416636089154609
"13" 0 0 0.416687002806325
"14" 0 0 0.166700783061168
"15" 0 0 0.249986219745157
"16" 0 0 0.249986219745157
"17" 0 0 0.583293112406031
"18" 0 0 0.333314046502842
"19" 0 0 0.333306892660874
"20" 1 0.416655973942254 0.666613785321747
"21" 1 0.416655973942254 0.583300266247999
"22" 1 0.416687002806325 0.583387785867494
"23" 1 0.499956762070326 0.583293112406031
"24" 1 0.583293112406031 0.583300266247999
"25" 1 0.583312997193675 0.583407670655138
"26" 1 0.583356757003422 0.666629462741735
"27" 1 0.583363910845391 0.666629462741735
"28" 2 0.666629462741735 0.749950135657452
"29" 2 0.666662078475055 0.666693107339126
"30" 2 0.666693107339126 0.833314568382916
"31" 2 0.666693107339126 0.66670845878321
"32" 2 0.749978544023115 0.833279332151188
"33" 2 0.833342976748579 0.833350130590548
